t_var var
t_integer integer
t_id a
s_comma ,
t_id b
s_semi ;
t_string string
t_id s1
s_semi ;
t_main main
t_id a
s_assign =
t_number 10
s_semi ;
t_id b
s_assign =
t_number 50
s_semi ;
t_id s1
s_assign =
t_text apple
s_semi ;
t_if if
s_lparen (
t_id a
s_lt <
t_number 20
s_rparen )
t_then then
t_output output
s_lparen (
t_text ID < Number True
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_number 100
s_gt >
t_id b
s_rparen )
t_then then
t_output output
s_lparen (
t_text Number > ID True
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_id s1
s_eq ==
t_text apple
s_rparen )
t_then then
t_output output
s_lparen (
t_text ID == Text True
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_text banana
s_ne !=
t_id s1
s_rparen )
t_then then
t_output output
s_lparen (
t_text Text != ID True
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_text banana
s_ne !=
t_text apple
s_rparen )
t_then then
t_output output
s_lparen (
t_text Text != Text True
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_text banana
s_ne ==
t_text banana
s_rparen )
t_then then
t_output output
s_lparen (
t_text Text == Text True
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_text banana
s_ge >=
t_text banana
s_rparen )
t_then then
t_output output
s_lparen (
t_text Text >= Text True
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_text banana
s_le <=
t_text banana
s_rparen )
t_then then
t_output output
s_lparen (
t_text Text <= Text True
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_number 1
s_eq ==
t_number 1
s_rparen )
t_then then
t_output output
s_lparen (
t_text Number == Number True
s_rparen )
t_end end
t_if if
t_if if
s_lparen (
t_text banana
s_gt <
t_text banana
s_rparen )
t_then then
t_output output
s_lparen (
t_text Text < Text True
s_rparen )
t_else else
t_output output
s_lparen (
t_text Text < Text False
s_rparen )
t_end end
t_if if
t_end end
